title,artist,year,Predicted_Genre,True_Genre,file_path
Kill Em With Kindness,Selena Gomez,2016,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/0qBsP-cfsNA - Selena Gomez - Kill Em With Kindness (Official Audio).mp3
One Last Time,Ariana Grande,2025,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/Wg92RrNhB8s - Ariana Grande - One Last Time (Official Lyric Video).mp3
Close Friends,Lil Baby,2019,Hip Hop,Hip Hop,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/nClKdcnzVsc - Lil Baby, Gunna - Close Friends (Audio).mp3"
Slippery (feat. Gucci Mane),Migos,2017,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/Hm1YFszJWbQ - Migos - Slippery feat. Gucci Mane [Official Video].mp3
Siapkah Kau 'Tuk Jatuh Cinta Lagi,HIVI!,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/kX1O93X77d4 - HIVI! - Siapkah Kau 'Tuk Jatuh Cinta Lagi (Official Lyric Video).mp3
Thinking Out Loud,Ed Sheeran,2016,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/WpyfrixXBqU - Ed Sheeran - Thinking Out Loud [Official Audio].mp3
Believer,Imagine Dragons,2017,Rock,Rock,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/IhP3J0j9JmY - Imagine Dragons - Believer (Audio).mp3
7 Years,Lukas Graham,2016,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/LHCob76kigA - Lukas Graham - 7 Years [Official Music Video].mp3
Merasa Indah,Tiara Andini,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/iTJvrId5Bmo - Tiara Andini - Merasa Indah (Official Lyric Video).mp3
Never Forget You,Zara Larsson,2016,Electronic,Electronic,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/ZlARJAmytnk - Zara Larsson & MNEK - Never Forget You (Official Audio).mp3
THE SHADE,Rex Orange County,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/G5kH8JQs7LY - Rex Orange County - THE SHADE (Official Audio).mp3
Levitating (feat. DaBaby),Dua Lipa,2021,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/PqbJJNuVMoc - Dua Lipa - Levitating (feat. DaBaby) [Official Audio].mp3
intro (end of the world),Ariana Grande,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/ztotaQ79eek - Ariana Grande - intro (end of the world) (extended) (lyric visualizer).mp3
XXL,LANY,2025,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2025/aiSBQIfcGEU - LANY - XXL (Official Lyric Video).mp3
Hati-Hati di Jalan,Tulus,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/_N6vSc_mT6I - TULUS - Hati-Hati di Jalan (Official Lyric Video).mp3
Tertawan Hati,Awdella,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/XQzHF8DGYp8 - AWDELLA - TERTAWAN HATI (OFFICIAL MUSIC VIDEO).mp3
Stir Fry,Migos,2018,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/0j82Oygrol0 - Migos - Stir Fry (Official Audio).mp3
Slow Hands,Niall Horan,2017,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/o5FzCz8NC58 - Niall Horan - Slow Hands (Official Audio).mp3
Aku Milikmu,Dewa 19,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/LyH94L1yOTk - Aku Milikmu (Remastered 2023).mp3
Usai,Tiara Andini,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/lLYz-dUXcDI - Tiara Andini - Usai (Official Lyric Video).mp3
YOUTH,Troye Sivan,2016,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/Io2Yjy3nV_c - Troye Sivan - YOUTH (Lyric Video).mp3
Hands To Myself,Selena Gomez,2016,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/N_-RzWTJ8l8 - Selena Gomez - Hands To Myself (Official Audio).mp3
Shivers,Ed Sheeran,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/z2_Lrg6rRks - Ed Sheeran - Shivers [Official Lyric Video].mp3
Pesan Terakhir,Lyodra,2025,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/pu7kkMAmiMM - Lyodra - Pesan Terakhir (Official Audio).mp3
happier,Olivia Rodrigo,2021,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/FT0Xp2BrVZA - happier.mp3
Tak Ingin Usai,Keisya Levronka,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/FB1YNEOspyA - Keisya Levronka - Tak Ingin Usai (Official Lyric Video).mp3
Sisa Rasa,Mahalini,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/Wh66ThpxvI4 - MAHALINI - SISA RASA (OFFICIAL MUSIC VIDEO).mp3
Chains,Nick Jonas,2015,Indie,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/RhU9MZ98jxo - The Chainsmokers - Paris (Official Lyric Video).mp3
Lucid Dreams,Juice WRLD,2019,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/onbC6N-QGPc - Juice WRLD ＂Lucid Dreams (Forget Me)＂ (Official Audio).mp3
Pura Pura Lupa,Mahen,2021,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/e8xGA0bLk2I - Mahen - Pura Pura Lupa (Official Lyric Video).mp3
7 rings,Ariana Grande,2025,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/M84fFXooS5w - Ariana Grande - 7 rings (Official Audio).mp3
Somebody's Pleasure,Aziz Hedra,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/PD0hHwbunXI - Aziz Hedra - Somebody’s Pleasure (Official Audio).mp3
Hype Boy,NewJeans,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/T--6HBX2K4g - NewJeans (뉴진스) - Hype Boy 「Official Audio」.mp3
Happy,Skinnyfabs,2021,Pop,Indie,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/qiQn5tYXdGA - skinnyfabs - happy (audio).mp3
Location Unknown (feat. BEKA) [Brooklyn Session],HONNE,2021,Pop,R&B,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/btIQvYcLNoI - HONNE - Location Unknown ◐ (feat. BEKA) (Brooklyn Session).mp3
Hati-Hati di Jalan,Tulus,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/_N6vSc_mT6I - TULUS - Hati-Hati di Jalan (Official Lyric Video).mp3
Kali Kedua,Raisa,2016,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/Lr1Ls5Xs4wQ - Raisa - Kali Kedua (Official Lyric Video).mp3
Akhir Cerita Cinta,Glenn Fredly,2021,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/dO7TUKGFui8 - Glenn Fredly - Akhir Cerita Cinta (Official Audio).mp3
SHEESH,BABYMONSTER,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/lEThmt0saQg - BABYMONSTER - ‘SHEESH’ (Official Audio).mp3
I Love You but I'm Letting Go,Pamungkas,2020,Indie,Indie,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/NO_cVedXdmM - Pamungkas -  I Love You But I'm Letting Go.mp3
Maafkan Aku #terlanjurmencinta,Tiara Andini,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/o24tFFUP8vo - Tiara Andini - Maafkan Aku #TerlanjurMencinta (Official Lyric Video).mp3
drivers license,Olivia Rodrigo,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/tNJhkrpLGT8 - drivers license.mp3
One Last Time,Ariana Grande,2015,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/Wg92RrNhB8s - Ariana Grande - One Last Time (Official Lyric Video).mp3
One Last Time,Ariana Grande,2015,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/Wg92RrNhB8s - Ariana Grande - One Last Time (Official Lyric Video).mp3
Tutur Batin,Yura Yunita,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/BbsePATM2ww - Yura Yunita - Tutur Batin (Official Lyric Video).mp3
T-Shirt,Migos,2017,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/HY_AGx1e2SA - Migos - T-Shirt (Culture).mp3
Terlalu Tinggi,Juicy Luicy,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/qOTy-cxc838 - Juicy Luicy - Terlalu Tinggi (Official Lyric Video).mp3
Hurts So Good,Astrid S,2021,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/4fqwVBuunxY - Astrid S - Hurts So Good.mp3
Before You Go,Lewis Capaldi,2020,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/QpljgJPFWl8 - Lewis Capaldi - Before You Go (Lyric Video).mp3
Magnetic,ILLIT,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/YVMUjAE-0SM - ILLIT (아일릿) 'Magnetic' Official Audio.mp3
To the Bone,Pamungkas,2022,Indie,Indie,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/oIYWenB637c - Pamungkas - To The Bone (Official Music Video).mp3
Menghapus Jejakmu,Bunga Citra Lestari,2021,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/SKV13bVJKJ4 - BCL & Ariel NOAH  - Menghapus Jejakmu.mp3
Terserah,Raisa,2025,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2025/CTJtyRXlpo4 - Raisa - Terserah (Official Lyric Video).mp3
Pura Pura Lupa,Mahen,2021,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/e8xGA0bLk2I - Mahen - Pura Pura Lupa (Official Lyric Video).mp3
Call Out My Name,The Weeknd,2018,Pop,R&B,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/rsEne1ZiQrk - The Weeknd - Call Out My Name (Official Audio).mp3
idontwannabeyouanymore,Billie Eilish,2019,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/WnUR3be5Ebk - Billie Eilish - idontwannabeyouanymore (Official Audio).mp3
everything i wanted,Billie Eilish,2020,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/qCTMq7xvdXU - Billie Eilish - everything i wanted (Audio).mp3
HandClap,Fitz and The Tantrums,2017,Soul,Soul,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/Y2V6yjjPbX0 - Fitz and the Tantrums - HandClap [Official Video].mp3
Butter,BTS,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/o9mLyHtSLjk - BTS (방탄소년단) 'Butter''.mp3
Lily,Alan Walker,2020,Electronic,Electronic,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/hdonNbzHHXE - Alan Walker - Lily ft. K-391 & Emelie Hollow (Official Lyric Video).mp3
Adore You,Harry Styles,2020,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/iquhBgM-Qv0 - Harry Styles - Adore You (Official Audio).mp3
idontwannabeyouanymore,Billie Eilish,2019,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/WnUR3be5Ebk - Billie Eilish - idontwannabeyouanymore (Official Audio).mp3
Interaksi,Tulus,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/GIy9ZbH0sHo - TULUS - Interaksi (Official Lyric Video).mp3
One Call Away,Charlie Puth,2016,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/3lcSFAItC4E - Charlie Puth - One Call Away Official Audio.mp3
Hilang Tanpa Bilang,Meiska,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/oyyqQHaJflY - Meiska - Hilang Tanpa Bilang (Official Audio).mp3
PILLOWTALK,ZAYN,2016,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/Yo0JpyvcB00 - PILLOWTALK.mp3
Talking to the Moon,Bruno Mars,2021,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/fXw0jcYbqdo - Bruno Mars - Talking To The Moon (Official Lyric Video).mp3
Lover,Taylor Swift,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/cvUAzpn48xA - Taylor Swift - Lover (Official Lyric Video).mp3
Perfect,Ed Sheeran,2025,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/iKzRIweSBLA - Ed Sheeran - Perfect [Official Lyric Video].mp3
Favorite Girl,Justin Bieber,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/oHeQtFCeGlU - Justin Bieber - Favorite Girl (Lyrics).mp3
intro (end of the world),Ariana Grande,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/ztotaQ79eek - Ariana Grande - intro (end of the world) (extended) (lyric visualizer).mp3
Lantas,Juicy Luicy,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/ba-XAIskH_g - Juicy Luicy - Lantas (Official Lyric Video).mp3
One Dance (feat. Wizkid & Kyla),Drake,2016,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/mym4sKoAnKs - One Dance (feat. WizKid & Kyla) - Drake (Official Audio).mp3
Bersamamu,Jaz,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/1-mM970N77M - Jaz - Bersamamu (Official Audio).mp3
Tampar,Juicy Luicy,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/qmgA_WejI8w - Juicy Luicy - Tampar (Official Lyric Video).mp3
Tak Ada Ujungnya,Rony Parulian,2025,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2025/20mna4uNz5w - Rony Parulian - Tak Ada Ujungnya (Official Lyric Video).mp3
Pesan Terakhir,Lyodra,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/pu7kkMAmiMM - Lyodra - Pesan Terakhir (Official Audio).mp3
Aku Yang Salah,Mahalini,2021,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/Lj_zPn3GsjE - MAHALINI X NUCA - AKU YANG SALAH (OFFICIAL MUSIC VIDEO).mp3
Faded,Alan Walker,2016,Pop,Electronic,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/psn_rs_a5O0 - Alan Walker - Faded (Audio).mp3
Tak Segampang Itu,Anggi Marito,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/7rCDUFh9kzc - Anggi Marito - Tak Segampang Itu (Official Lyric Video).mp3
Bawa Dia Kembali,Mahalini,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/dq2i49uwEJg - MAHALINI - BAWA DIA KEMBALI #FABULA (VIDEO LIRIK) LIRIK LAGU TERBARU.mp3
